created_at,entry_id,soilmoisture,humidity,temperature
2021-04-28T18:52:12+05:30,196,196,76,32.6
2021-04-28T18:52:28+05:30,197,196,77,32.6
2021-04-28T18:52:43+05:30,198,197,77,32.9
2021-04-28T18:53:31+05:30,199,196,76,32.6
2021-04-28T18:53:47+05:30,200,197,76,32.7
2021-04-28T18:54:02+05:30,201,197,77,32.8
2021-04-28T18:54:18+05:30,202,196,76,32.7
2021-04-28T18:54:33+05:30,203,196,76,33
2021-04-28T18:54:48+05:30,204,196,75,32.9
2021-04-28T18:55:38+05:30,205,197,76,33.1
2021-04-28T18:55:53+05:30,206,196,77,33
2021-04-28T18:56:08+05:30,207,196,76,32.8
2021-04-28T18:57:10+05:30,208,196,78,32.4
2021-04-28T18:57:25+05:30,209,197,76,32.7
2021-04-28T18:57:41+05:30,210,197,76,32.6
2021-04-28T18:57:56+05:30,211,197,75,32.8
2021-04-28T18:58:11+05:30,212,196,75,32.8
2021-04-28T18:58:27+05:30,213,196,75,32.9
2021-04-28T18:58:42+05:30,214,196,75,32.9
2021-04-28T18:58:57+05:30,215,197,75,32.9
2021-04-28T18:59:12+05:30,216,196,75,32.9
2021-04-28T18:59:28+05:30,217,197,76,33
2021-04-28T18:59:44+05:30,218,196,75,33
2021-04-28T19:00:00+05:30,219,197,76,33
2021-04-28T19:00:15+05:30,220,196,74,32.9
2021-04-28T19:00:30+05:30,221,197,74,32.9
2021-04-28T19:00:46+05:30,222,197,74,32.9
2021-04-28T19:01:01+05:30,223,196,75,33
2021-04-28T19:01:22+05:30,224,196,75,33
2021-04-28T19:01:37+05:30,225,196,75,33
2021-04-28T19:01:52+05:30,226,196,74,33
2021-04-28T19:02:08+05:30,227,197,76,33
2021-04-28T19:02:23+05:30,228,197,75,33.1
2021-04-28T19:02:39+05:30,229,197,74,33.1
2021-04-28T19:02:54+05:30,230,197,75,33.1
2021-04-28T19:03:09+05:30,231,197,74,33.1
2021-04-28T19:03:24+05:30,232,196,75,33
2021-04-28T19:03:40+05:30,233,197,75,33
2021-04-28T19:03:55+05:30,234,196,75,33
2021-04-28T19:04:10+05:30,235,197,76,33.1
2021-04-28T19:04:26+05:30,236,196,76,33.1
2021-04-28T19:04:41+05:30,237,196,75,33.1
2021-04-28T19:04:56+05:30,238,197,75,33.2
2021-04-28T19:05:12+05:30,239,197,76,33.2
2021-04-28T19:05:27+05:30,240,197,75,33.2
2021-04-28T19:05:42+05:30,241,196,75,33.2
2021-04-28T19:05:58+05:30,242,196,75,33.2
2021-04-28T19:06:13+05:30,243,197,75,33.2
2021-04-28T19:06:28+05:30,244,196,75,33.2
2021-04-28T19:06:43+05:30,245,197,75,33.2
2021-04-28T19:06:59+05:30,246,196,75,33.2
2021-04-28T19:07:14+05:30,247,197,75,33.2
2021-04-28T19:07:30+05:30,248,197,75,33.2
2021-04-28T19:07:45+05:30,249,196,75,33.2
2021-04-28T19:08:00+05:30,250,196,75,33.2
2021-04-28T19:08:15+05:30,251,196,75,33.2
2021-04-28T19:08:31+05:30,252,197,75,33.2
2021-04-28T19:08:46+05:30,253,197,75,33.3
2021-04-28T19:09:01+05:30,254,197,75,33.3
2021-04-28T19:09:17+05:30,255,197,74,33.4
2021-04-28T19:09:32+05:30,256,197,74,33.4
2021-04-28T19:09:47+05:30,257,197,74,33.3
